calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
15 de Noviembre de 1889,1400,1,17,1,11,5,-34.63116,-58.386024
15 de Noviembre de 1889,1500,1,19,0,12,7,-34.631272,-58.3873
15 de Noviembre de 1889,1600,1,21,5,13,3,-34.631375,-58.388379
15 de Noviembre de 1889,1700,1,14,2,8,4,-34.631469,-58.389761
15 de Noviembre de 1889,1800,4,8,2,5,1,-34.631603,-58.39102
15 de Noviembre de 1889,1900,4,60,9,15,36,-34.631865,-58.392069
15 de Noviembre de 1889,2000,1,5,0,4,1,-34.632262,-58.393847
15 de Noviembre de 1889,2200,4,5,0,3,2,-34.632386,-58.394188
15 de Noviembre de 1889,2300,4,17,6,9,2,-34.632891,-58.396223
15 de Noviembre de 1889,2400,4,20,7,7,6,-34.63323,-58.397632
15 de Noviembre de 1889,2500,4,21,4,8,9,-34.633536,-58.398901
15 de Noviembre de 1889,2550,4,1,1,0,0,-34.633661,-58.399228
15 de Noviembre de 1889,2600,4,27,11,11,5,-34.633922,-58.400526
15 de Noviembre de 1889,2637,4,1,1,0,0,-34.633849,-58.400436
2 de Abril de 1982,3100,15,10,1,6,3,,
2 de Abril de 1982,3800,8,6,2,4,0,,
2 de Abril de 1982,6400,8,16,0,11,5,-34.677126,-58.490192
2 de Abril de 1982,6750,8,18,4,10,4,-34.679204,-58.492645
2 de Abril de 1982,6900,8,4,3,1,0,-34.679628,-58.49315
20 de Febrero,5600,12,4,1,2,1,-34.564544,-58.500323
20 de Febrero,5700,12,2,0,1,1,-34.565341,-58.50168
20 de Febrero,5800,12,4,0,1,3,-34.565535,-58.502068
20 de Febrero,5900,12,8,3,1,4,-34.566187,-58.503637
20 de Septiembre,0,4,1,0,1,0,-34.626389,-58.359477
20 de Septiembre,200,4,11,1,10,0,-34.628148,-58.362243
20 de Septiembre,250,4,11,0,9,2,-34.628127,-58.362275
20 de Septiembre,300,4,23,8,15,0,-34.62823,-58.36212
20 de Septiembre,3000,4,2,2,0,0,-34.628224,-58.362128
20 de Septiembre,400,4,16,0,8,8,-34.628351,-58.361937
20 de Septiembre,500,4,22,2,15,5,-34.62861,-58.361666
20 de septiembre,400,4,2,0,2,0,-34.628351,-58.361936
24 de Noviembre,100,3,52,10,31,11,-34.611729,-58.411661
24 de Noviembre,1000,3,21,8,12,1,-34.623244,-58.410533
24 de Noviembre,1100,3,21,4,14,3,-34.62421,-58.410418
24 de Noviembre,1200,3,27,13,8,6,-34.625598,-58.410282
24 de Noviembre,1300,3,16,3,12,1,-34.626945,-58.410144
24 de Noviembre,1400,3,21,0,18,3,-34.627985,-58.410059
24 de Noviembre,1500,3,27,11,11,5,-34.629312,-58.409919
24 de Noviembre,1600,4,29,6,15,8,-34.630624,-58.409801
24 de Noviembre,1700,4,27,6,15,6,-34.631882,-58.409687
24 de Noviembre,1800,4,10,2,7,1,-34.632713,-58.409586
